ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66;CENTRO_CERCANO;TIEMPO_CERCANO
3434;54;44;24.0460854;5.551852804;8.027943794;16.08142926;13.75550934;6.456211864;24.07340466;17.65078027;13.61506142;5.00219736;27.27283201;11.46665581;3.873477403;27.3399148;32.25620293;18.58003674;26.1992714;18.72609485;6.372425746;4.686054196;21.92707601;23.29040404;7.128748624;29.46177369;21.62554623;12.56012959;24.84579357;22.57681592;25.23107652;9.32447082;26.14806567;8.00843676;15.10998755;14.21598411;12.74797039;13.74714989;12.62447217;18.53895438;18.56065386;12.76902555;14.40695553;15.79827432;23.25921878;18.4437129;26.50621181;22.89212182;13.62147713;8.970512552;16.69518206;18.68108456;2.205766505;19.88678046;17.22101017;18.56856772;14.47706106;15.31985315;27.62108041;19.77806593;7.996606169;9.501396136;52.19887663;42.25892004;24.28242984;56.11392144;37.43762606;30.40499987;33.43914225;50;2.205766505
3435;81;19;15.64846572;23.42537784;22.65356875;19.8859191;21.98289564;17.20911312;18.92495244;19.11964645;17.3393693;20.46935352;19.77201997;10.39855117;16.60579996;20.8263181;19.80255307;23.16394794;23.81515424;14.57125235;16.71921221;15.7210886;16.27611761;6.089694102;13.46701518;23.23275591;16.02981159;10.43517985;17.85652875;15.35310428;19.507677;14.2560198;14.30312649;17.00890782;22.45423151;17.21045127;11.58298585;19.29267497;12.75868833;27.075759;18.79841868;23.84664045;8.085784888;17.57526648;13.81319414;24.78706074;17.06018717;13.44609718;12.99917183;11.75725941;12.90300122;27.19839356;20.30227447;13.4384385;19.44717445;23.15247892;13.68200346;16.76778221;25.96700401;11.28759223;22.55905203;24.31702796;39.05777359;29.117817;14.8364052;42.9728184;24.29652302;17.26389683;25.31869359;21;6.089694102
3436;58;76;18.7897851;15.35222982;17.06762119;5.20836402;21.94506078;14.03072424;13.73176812;5.838379212;22.6768493;9.86229174;26.45763295;22.09375741;14.500579;25.22582092;37.33554031;11.88415326;16.46914622;22.79818373;17.34884993;15.66247838;13.83461885;25.95269794;17.66403492;17.88397245;22.76032527;25.50956881;26.79287859;19.7526071;23.6038512;16.65145812;31.21795023;7.21765218;7.541010226;8.594333374;26.12189293;6.470831393;14.93686413;15.37331862;7.03105182;11.27573865;25.00060863;24.45483132;24.3900326;14.78581002;26.92310471;22.75310146;26.68910489;19.94693673;25.83298622;10.27680386;15.57968904;23.34246522;6.097762932;11.87268424;27.09258162;10.79694173;19.21679971;25.46850115;17.79698319;16.28776748;52.67866603;42.73870944;24.14340948;56.59371084;37.91741546;30.88478927;28.46001297;3;5.20836402
3437;145;3;41.39105418;51.81410682;51.69008851;45.62850756;51.01941539;43.20406704;46.8203646;44.86223491;46.37588906;46.21194198;48.80853973;39.32506801;43.65873364;46.56890656;49.45723633;48.9065364;49.5577427;43.60777211;43.77214589;42.77402228;45.31263737;38.07439396;40.51994886;48.97534437;45.06633135;39.47169961;41.26854393;41.09569274;48.54419676;40.22393136;43.33964625;42.75149628;48.19681997;42.95303973;40.61950561;45.03526343;38.50127679;52.81834746;44.54100714;49.58922891;37.12230465;46.61178624;42.8497139;50.5296492;46.09670693;42.48261694;42.03569159;38.81019309;41.93952098;52.94098202;48.80542518;35.9600196;45.18976291;48.89506738;42.71852322;42.51037067;52.64847817;40.32411199;51.59557179;53.35354772;11.93251393;12.6746973;43.87292496;26.5296987;26.3590328;20.99770679;51.06128205;60;11.93251393
3438;63;73;16.97119998;15.3326346;17.11378321;6.94154706;21.9912228;14.01112902;16.46309082;8.993372832;25.408172;9.84269652;29.18895565;22.07416219;14.48098378;23.4072358;35.51695519;13.25597694;19.20046892;25.52950643;17.32925471;15.64288316;16.56594155;24.13411282;16.2621684;17.29585917;25.49164797;25.53141847;24.97429347;17.93402198;26.3351739;15.10460508;29.39936511;7.19805696;9.242957806;8.384398414;26.10229771;6.260896433;13.36607619;16.7451423;10.18604544;12.15457947;23.18202351;27.18615402;27.1213553;16.12925814;29.65442741;25.48442416;26.97580445;19.92734151;27.99923984;11.74696832;15.56009383;21.5238801;3.575829192;13.24450792;27.0729864;7.978942186;20.68696417;26.38383085;17.77738797;16.3339295;50.86008091;40.92012432;26.87473218;54.77512572;36.09883034;29.06620415;26.64142785;52;3.575829192
3439;98;54;13.60673586;23.49006492;25.33409665;20.96961702;30.21153624;15.56971764;22.16147406;20.20334437;27.13836014;16.8686622;29.57101081;20.86453885;18.4362451;12.45600598;30.21970741;24.24764586;24.89885216;24.37024319;20.93519345;19.2488219;22.26432479;18.83686504;13.64076564;24.31645383;25.82880243;20.23417069;11.11289229;10.35922664;29.30666784;12.58958196;24.10211733;13.36572876;22.96067135;17.38906545;21.38197669;18.83414447;12.12287733;26.94836238;19.8821166;21.48304485;17.88477573;27.37425732;23.61218498;25.87075866;26.85917801;23.24508802;22.79816267;19.57266417;22.70199206;26.0704226;21.85074823;8.582435584;20.53087237;24.23617684;23.4809943;15.92906423;27.98958763;21.08658307;25.93481829;24.55424294;45.17378827;35.23383168;24.63539604;49.08883308;30.4125377;23.37991151;20.38361685;51;8.582435584
3440;55;51;21.75426768;5.456684464;7.932775454;12.77307804;12.77757006;5.653822204;21.94793232;14.89948873;16.50471344;2.53972134;30.16248403;14.00843959;6.415261183;24.87743878;34.57448485;16.4545644;23.71660586;21.61574687;8.914209526;7.227837976;20.65939493;25.6621129;9.287132884;26.48836683;24.51519825;15.86848081;25.33227255;20.31009128;28.12072854;8.31750684;28.68665325;5.54596074;12.64751153;11.63715285;16.05632161;11.16831863;10.62898497;16.18391112;16.09216134;10.30654953;16.94873931;18.68792634;26.56757;17.15453448;29.81456303;26.20047304;16.92982835;11.51229633;20.00353328;16.19841902;5.514117725;21.74722944;13.91265895;16.44309538;17.53956342;13.23177989;25.13841487;23.08641715;7.901437829;7.187726896;52.61969371;42.67973712;27.59078106;56.53473852;37.85844314;30.82581695;31.17241761;9;2.53972134
3441;27;17;22.36361418;20.07193992;18.51487969;19.92459846;14.21855922;23.92426158;11.16061602;17.90821477;9.575032878;24.28541604;12.00768355;14.70642955;22.22208826;27.54146656;24.06159811;17.04681186;20.45526236;6.315436493;20.14685051;21.32574758;8.511781186;14.3064268;20.18216364;27.06965679;8.265475169;8.882389208;24.57167721;22.06825274;11.74334058;20.97116826;17.94400803;23.72405628;20.92514063;23.92559973;8.927636829;26.00782343;19.47383679;20.47635198;16.64683098;20.48674857;11.72666643;7.80661716;3.790408397;17.90628126;8.241936473;5.681760761;8.592455033;18.47240787;5.783536638;24.14768906;19.24244953;20.15358696;21.59179789;17.03534284;9.975421977;23.48293067;18.20266759;5.627216888;17.65702497;19.27596644;45.77292205;35.83296546;7.072068778;49.68796686;31.01167148;23.97904529;32.03384205;42;3.790408397
3442;39;31;26.346588;9.524226664;7.967166434;20.7978378;11.85000006;17.5129602;17.36763018;19.06268653;9.557546778;16.3383966;17.73399247;15.48799615;13.79753014;31.52444038;28.04457193;17.82068562;25.55604188;8.557121753;10.39174511;12.10188746;14.71879535;18.28940062;18.18549696;32.36329047;13.98413283;7.956757448;28.55465103;26.05122656;17.95035474;20.38121916;21.92698185;19.13979804;15.12905279;24.99352119;5.469220869;22.87001921;23.45681061;18.66818388;17.80130274;14.73306843;15.70964025;6.70892526;13.00324754;17.68436178;16.25024057;12.63615058;4.834521893;13.54246113;6.278509878;25.77128006;9.197248385;24.13656078;24.00267373;17.8092166;10.33375092;26.37660149;24.40968175;9.581221688;7.109311709;9.630625636;49.75589587;39.81593928;14.0264586;53.67094068;34.9946453;27.96201911;36.01681587;46;4.834521893
3443;91;70;4.189973699;24.83366118;25.87633159;15.04167126;25.49217834;17.68987716;16.2335283;14.27539861;25.17860948;18.21225846;28.70127649;19.99480453;20.77984528;11.07586516;29.34997309;18.3197001;18.9709064;23.50050887;23.26950635;21.97277606;16.33637903;17.96713072;16.07465382;18.38850807;24.95906811;19.36443637;18.80731137;5.872817838;26.10561138;14.70974148;23.23238301;14.70932502;17.60998367;11.49884175;20.51224237;13.58106545;10.45910553;22.23151116;13.95417084;19.00239261;17.01504141;26.504523;22.74245066;19.9428129;25.98944369;22.3753537;21.92842835;18.70292985;21.83225774;22.35414572;24.75286999;15.356898;14.60292661;18.30823108;22.61125998;12.40082213;22.06164187;20.21684875;27.27841455;25.09647788;44.69309881;34.75314222;23.76566172;48.60814362;29.93184824;22.89922205;15.23341125;0;4.189973699
3444;25;37;24.97853616;12.94172526;11.38466503;18.63470334;7.625014135;21.22599858;9.870720904;16.61831965;3.126388398;20.03199354;13.71862591;18.41136787;17.60499994;31.24640488;27.76653643;15.75691674;19.16536724;5.171888753;16.24833401;16.3225025;7.221886066;18.01136512;22.12395828;25.77976167;8.071340129;12.58732753;28.27661553;25.77319106;10.45344546;24.17481396;21.64894635;22.52926848;18.54655139;24.69542091;12.63257515;26.15959403;23.17877511;16.87426938;15.35693586;18.15056703;15.43160475;4.32737112;9.998321057;16.61638614;12.53139317;8.361389921;12.04187171;19.39905003;9.092892978;22.85779394;13.13570971;23.85852528;20.30190277;15.74544772;13.6803603;25.71091919;16.91277247;11.07678961;10.52681031;12.14575178;49.47786037;39.53790378;9.751697938;53.39290518;34.7166098;27.68398361;34.64876403;8;3.126388398
3445;113;70;11.70977982;33.29444124;35.13847297;26.81531604;37.26582312;28.2053385;28.00717308;26.04904339;36.78408716;26.67303852;39.21673783;30.51026587;31.29530662;3.853719158;39.86543443;30.09334488;30.74455118;34.01597021;33.78496769;32.47322516;28.11002381;28.48259206;26.59011516;30.16215285;35.47452945;29.87989771;18.08446197;11.80833818;37.87925616;25.22520282;33.74784435;23.17010508;29.38362845;24.13984821;31.02770371;25.19598659;20.97456687;34.00515594;25.72781562;30.77603739;27.53050275;37.01998434;33.257912;31.71645768;36.50490503;32.89081504;32.44388969;29.21839119;32.34771908;34.1277905;33.38430835;17.5374933;26.37657139;30.08187586;33.12672132;24.86124845;33.83528665;30.73231009;35.73919461;34.35861926;55.20856015;45.26860356;34.28112306;59.12360496;40.44730958;33.41468339;13.94987313;13;3.853719158
3446;83;20;16.59681852;24.64298106;23.87117197;20.8342719;23.20049885;17.84353626;20.14255566;20.06799925;18.55697252;21.41770632;20.98962319;10.78361239;17.2271593;21.7746709;21.02015629;24.11230074;24.76350704;15.78885557;17.49601331;16.57683362;17.49372083;7.307297322;14.05195524;24.18110871;17.24741481;11.65278307;18.80488155;16.30145708;20.72528022;15.11176482;15.52072971;17.95726062;23.40258431;18.15880407;12.80058907;20.24102777;13.70704113;28.0241118;19.74677148;24.79499325;9.303388108;18.7928697;15.03079736;25.73541354;18.27779039;14.6637004;14.21677505;12.61300443;14.12060444;28.14674636;21.51987769;14.3867913;20.39552725;24.10083172;14.89960668;17.71613501;27.18460723;12.50519545;23.77665525;25.53463118;39.94717255;30.00721596;16.05400842;43.86221736;25.18592198;18.15329579;26.26704639;21;7.307297322
