ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
34;7;54;14.94400528;23.32483649;11.60458249;23.22485967;35.949055;15.47234892;11.62840005;22.30301989;14.16463595;21.03244146;25.22688044;13.05001909;8.517637396;15.68673022;12.12291784;12.97481854;16.47756348;20.86169668;14.95137966;19.13012428;48.65619554;22.44097124;11.34397564;51.5508796;38.50661283;38.00375638
38;49;16;16.96815382;21.78810035;21.71476321;22.00314063;34.41231886;14.89494702;12.88670865;15.99847279;24.27481667;13.52334114;17.71778012;16.38085363;18.62781812;21.78006988;13.38122644;23.08499926;25.42815474;30.9718774;21.46280736;19.28790886;41.14709522;23.69927984;12.60228424;44.04177928;36.96987669;30.49465606
41;7;67;19.0119013;26.09265719;14.37240319;25.99268037;38.7168757;18.24016962;15.85759197;25.07084059;16.93245665;25.44691404;29.97302924;18.22186093;11.2854581;18.45455092;16.35210976;15.74263924;19.24538418;23.62951738;17.71920036;21.89794498;53.40234434;26.67016316;15.57316756;56.2970284;41.27443353;42.74990518
46;40;52;4.071362681;28.99476971;16.55818165;12.44242227;41.61898822;21.14228214;23.51967729;25.87143265;19.25989229;23.15140308;33.07425608;7.212817211;17.11617434;5.527976262;24.01419508;11.28624574;15.84054648;20.26046578;20.1971901;17.99469286;56.50357118;34.33224848;23.23525288;59.39825524;44.17654605;45.85113202
48;49;88;18.93193696;19.09588541;7.589347629;12.26633463;31.72010392;11.24339784;20.81333787;18.07406881;8.57926955;18.45014226;31.87333646;19.17324559;8.254234696;12.66608332;21.30785566;8.577314258;8.13731556;12.55723486;10.72242858;14.9011732;48.93445334;31.62590906;20.52891346;51.8291374;34.27766175;38.28201418
58;96;42;27.02276506;16.87496255;22.26344149;18.01705881;30.0135316;11.57180808;23.28051423;2.066900054;24.35805275;6.005947384;24.4484675;26.66523859;20.39486396;24.80671258;23.77503202;23.12567482;22.1050158;29.67249166;18.13966842;15.96476992;38.34169574;34.09308542;22.99608982;41.2363798;32.57108943;27.68925658
63;26;37;7.378979921;30.57990029;18.85964629;23.01541737;43.2041188;22.72741272;13.44138501;25.32055807;21.41969975;22.84542642;27.0398654;6.791679731;15.7727012;15.09398392;13.9359028;19.03376638;23.73262728;28.11676048;22.20644346;26.38518808;50.4691805;24.2539562;13.1569606;53.36386456;45.76167663;39.81674134
65;41;46;4.616832761;31.60184333;19.16966719;14.24813457;44.03646094;23.62149336;21.75100905;25.85439049;21.87137783;22.6697427;31.7414171;5.116640231;19.85883596;8.280035502;22.24552684;14.02890736;17.77489914;23.00514346;22.06578552;19.83121468;55.1707322;32.56358024;21.46658464;58.06541626;46.59401877;44.51829304
68;43;46;5.004961481;30.97349261;18.53690455;14.63626329;43.59771112;23.12100504;22.32648897;26.24251921;21.23861519;22.29427842;30.8774213;5.692120151;19.22607332;7.416039702;22.82100676;13.39614472;18.16302786;23.30977918;22.45391424;20.2193434;54.3067364;33.13906016;22.04206456;57.20142046;46.15526895;43.65429724
85;43;79;17.31092098;19.25720603;10.25748085;13.34524101;31.88142454;11.40471846;21.21739833;18.23538943;12.31119119;18.61146288;32.03465708;16.88312923;8.658295156;9.592017702;21.71191612;3.799239158;8.17541382;13.63614124;10.83123228;15.06249382;49.09577396;32.02996952;20.93297392;51.99045802;34.43898237;38.4433348
90;63;72;18.80325454;19.25169767;18.85271119;8.500639286;31.63925086;8.97093558;29.54323683;18.22988107;20.86697453;18.60595452;32.02914872;21.32831185;16.98413366;13.81515208;30.03775462;11.70941194;5.19548664;17.78183572;8.13253164;6.073036775;49.0902656;40.35580802;29.25881242;51.98494966;34.19680869;38.43782644
96;44;18;15.37298854;24.12898973;21.23267203;24.21529245;36.75320824;17.2358364;12.40461747;18.33936217;23.79272549;15.86423052;20.0586695;14.78568835;18.14572694;20.8439818;12.89913526;22.60290808;26.10565302;30.48978622;23.80369674;21.62879824;43.4879846;23.21718866;12.12019306;46.38266866;39.31076607;32.83554544
98;72;68;22.73521462;18.50728487;21.00242959;10.57669899;32.15160826;9.48329298;30.01333743;17.38202305;23.08372739;16.44885534;31.1812907;23.51604265;19.13385206;16.04600062;30.50785522;15.77117332;8.90248056;19.99858858;10.26841338;7.189413635;48.24240758;40.82590862;29.72891302;51.13709164;34.70916609;37.58996842
107;39;76;14.50862914;21.79716335;11.45582527;16.07868039;34.42138186;13.94467578;22.30631163;20.77534675;12.98108621;21.1514202;34.5746144;16.06509025;9.747208456;7.662559002;22.80082942;6.282787058;7.78991118;18.23073574;11.54190966;16.2887695;51.63573128;33.11888282;22.02188722;54.53041534;36.97893969;40.98329212
109;59;16;20.5379008;21.82216739;22.74664465;20.14509009;34.4463859;14.92901406;13.91859009;16.03253983;25.30669811;13.55740818;16.41459356;19.30973341;19.65969956;25.99419352;14.41310788;24.1168807;24.8033193;32.00375884;21.4968744;19.3219759;41.18116226;24.73116128;13.63416568;44.07584632;37.00394373;30.5287231
110;35;23;12.852673;25.62253577;20.40477043;25.59907161;38.24675428;18.72938244;11.57671587;19.83290821;22.96482389;17.35777656;21.55221554;12.26537281;17.31782534;19.8735907;12.07123366;21.77500648;25.27775142;29.66188462;23.7515676;23.12234428;44.98153064;22.38928706;11.29229146;47.8762147;40.80431211;34.32909148
116;64;54;14.94283792;20.90270135;22.42243483;6.624967106;32.07772486;12.69522084;29.96753409;17.33621971;23.41235675;14.2705473;29.23925216;17.56596103;22.72873274;14.2438996;30.46205188;16.34729734;11.42455512;20.32721794;13.29936198;8.216404295;48.19660424;40.78010528;29.68310968;51.0912883;34.63528269;37.54416508
118;39;47;5.565835781;31.54699829;19.11041023;14.23809693;44.03554672;23.69451072;22.31340867;26.32236073;21.81212087;23.61874572;31.9151639;6.065643251;19.66840292;8.080204842;22.80792646;13.83847432;17.63622114;22.05614044;21.99286476;20.16334276;55.344479;33.12597986;22.02898426;58.23916306;46.59310455;44.69203984
119;48;30;11.18768032;28.29139709;23.57015557;17.48237709;40.9156156;21.39824376;17.85945141;22.50176953;26.27186621;19.50856842;24.22107686;10.60038013;23.60056088;15.80996524;18.3539692;18.42939574;20.8805013;25.3004206;25.23714492;23.40762292;47.65039196;28.6720226;17.575027;50.54507602;43.47317343;36.9979528
120;49;51;7.427232041;25.69749059;18.25704223;8.343781826;38.14123162;18.13466088;26.87554665;21.70534207;19.24696415;18.9853125;33.35967212;10.96584769;18.56334014;7.993866942;27.37006444;12.18190474;11.74190604;16.16182534;16.09854966;14.26902766;52.99139348;37.68811784;26.59112224;55.88607754;40.69878945;42.33895432
122;39;28;8.457312461;27.94020503;23.09618413;22.10733981;40.56442354;21.0470517;14.26812957;22.15057747;25.65623759;19.67544582;23.8698848;7.870012271;20.00923904;15.47823016;14.76264736;18.09766066;23.88733932;29.54182606;26.4429813;25.44001354;47.2991999;25.08070076;13.98370516;50.19388396;43.12198137;36.64676074
125;103;47;30.62948884;12.79293995;23.10251767;19.24746567;27.6605539;12.41088426;26.14572441;3.489565034;25.19712893;9.742995244;27.31367768;30.90529591;21.23394014;25.64578876;26.6402422;23.964751;22.94409198;30.51156784;18.9787446;16.8038461;43.30827836;36.9582956;25.8613;46.20296242;30.21811173;32.6558392
