COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66
3.4;26.7;36.24774563;29.745249279000003;27.731401721;28.601313470000004;21.900763345;38.050479579;18.242851179000002;26.269400668000003;17.964908778;37.96639061;0.0;26.952022384000003;35.850694114999996;42.166364542;38.063150715999996;25.258017710000004;28.927213217000002;13.808608513;32.335692527000006;33.798282869000005;15.145172135;26.401444906000002;33.54830529899999;37.33142207600001;11.637245539999999;20.170271872;38.163691461;35.72465055;21.106548111000002;34.38012863;30.820391395999998;37.644224689999994;29.811317927;36.010347717;20.0830663;37.910880349;32.575619384;30.60100307;24.74187173;29.213612625000003;23.559645884000002;16.21562357;16.297618013;26.24067779;19.368603817000004;14.213953978;19.747386589;31.188794240000004;18.822501918000004;33.202005871000004;29.786158815000004;33.096834398999995;30.509699548;25.255723906000004;21.386073529;37.175235947000004;26.557856943000004;18.247363432;26.804469440000005;28.693175489;63.93867151499999;51.79184381;15.96126029;66.771358669;45.75960576600001;37.416138707;47.47979410300002
64.8;25.4;25.521929594000003;19.517678343;22.410393845;28.607377094;29.102464069;11.780528763000001;25.650997083;29.447725912;23.911527702;15.555155654;26.952022384000003;0.0;8.922819119;31.440548506000003;24.885806620000004;32.666163614;34.706935361;20.665117417;8.990630591;9.196955933;22.553318039;13.885763229999998;13.402200482999996;34.38693674000001;22.229686124;15.293575695999994;27.437875425;24.998834514000006;26.442261435000002;14.842743194;18.24971594;18.665627414000003;28.846891631000002;22.093416381;17.044804144;21.107003953;18.791301128;33.94250143400001;28.999027994000002;27.204323709;3.408631208;23.844897494;19.648692797000002;32.979146054000005;23.673657061;19.222452622000002;18.876818053;7.990499744;18.874063002;32.97215057500001;15.514773218999999;22.371018363;27.567268672;32.66386981;18.748023433;22.076427851000002;33.966002847;16.706407876;20.883424724000005;24.060492233;53.062356819;40.915529114;20.969758934;55.895043973000014;34.88329107;26.539824011000004;36.75397806700001
61.4;41.5;26.99671312500001;11.264716654;14.231267856;19.693201424999998;20.84950238;5.782390233999999;31.171043074;22.213943363;19.951496892999998;6.6409799849999995;35.850694114999996;8.922819119;0.0;32.706632897;32.889903610999994;24.994568985;32.75682007199999;25.970994308;5.909486501999999;3.939846204;29.760798930000004;22.724406281;7.076161594;35.842191891000006;29.54509771500001;17.292511007;28.079915956;24.772569925000003;33.649742326;9.210226305;25.942040451;9.751451745;19.932715962000003;15.386257252000004;17.234494294999998;14.967672944;13.158784239000001;25.028325765;23.727730065;18.29014804;12.307302939000001;22.750367445;28.547364528;26.237820225;32.572328792;28.121124353;18.798935264;6.659526135;22.605675193;24.057974906000002;7.261811529999999;20.091669214;20.971274183;24.992275181;17.884107284;16.443910962000004;34.15016231799999;25.605079607;14.211464175;15.807530544;57.15397386999999;45.00714616499999;29.868430665;59.98666102399999;38.974908121;30.631441062;37.836795338
103.8;69.9;13.259559092;34.66061882099999;37.00277882299999;27.324267692000003;39.696618846999996;28.836016581;28.702322481;26.31453523;39.12586986;26.917234832;42.166364542;31.44054850600001;32.706632897;0.0;42.55167683799999;31.132611332000003;31.573744679;35.87945957499999;35.449478369000005;33.903748871;28.805155037;29.175134128000003;26.962312101;31.253746058000004;37.444028282000005;30.984755014;16.890442862999997;9.608887812;40.16064855299999;25.165665632;35.308917517999994;22.955181151999998;30.481544789000004;23.981581479;32.259146302000005;26.554409611;20.363382025999996;36.265022792;25.865837311999996;31.860144087000002;28.048172005999998;39.059239652;34.863034954999996;33.37508871200001;38.88799921900001;34.43679478;34.09116021100001;29.903652962000002;34.08840516;35.848537332999996;34.99816091699999;16.186157361;26.973397569999996;31.130317528000003;34.706745631000004;24.877808969;35.302470105;31.920750034;37.60736634199999;36.13563769099999;61.266084957000004;49.119257252000004;36.184101092000006;64.098772111;43.087019207999994;34.743552149;16.234659384999993
72.3;-14.9;36.633057925999985;42.338317274999994;41.365417337;41.568586706;40.60496202099999;34.37770381499999;36.76212541499998;40.558854244;35.022656033999986;39.522240146;38.06315071599999;24.885806620000004;32.889903610999994;42.55167683799999;0.0;43.777291945999984;45.818063693;31.776245748999997;32.957715083000004;32.453255945;33.66444637099998;16.026337462;32.572582335;45.498065072;33.340814456;26.881541188000003;38.549003756999994;36.10996284599999;37.55338976699999;34.765440926;7.292558731999999;38.23691552599999;44.725863803;38.22590049299998;28.155932476;40.798728625;32.96093168;48.782152706;40.11015632599999;46.104463101;21.49343012;34.95602582599999;30.759821129;44.660532206;34.78478539299999;30.333580954000002;29.987946385;27.914758196;29.985191334;50.09285634699998;37.94493785099999;33.48214669499999;41.217716584;43.77499814199999;30.603531804999996;37.837659623;45.077131179;27.817536208;41.182681976;43.254662644999996;64.32398381099999;52.17715610599999;32.080887266;67.15667096499999;46.144918061999995;37.80145100299999;47.865106399
31.5;71.8;23.682679140000005;17.558138809000003;14.590888971;12.092664000000001;15.767555675;24.059186929;10.025755189;12.994961918000001;20.628757768;19.20517092;25.258017710000004;32.66616361399999;24.994568985;31.132611332;43.77729194600001;0.0;16.125239547;20.622373103;26.640755697000003;25.295070819000003;10.128587744999999;32.000387636;28.298953668999996;24.529448406000004;20.600578830000003;25.88441310199999;32.910146251;24.690897340000003;21.484081261000004;27.487023;36.53453262599999;16.235488080000003;5.418718376999999;19.605453367000003;25.79720753;17.024369579000002;23.188635534;5.36593332;11.46743298;7.631744934999999;29.27378711399999;22.94090886;22.626191403000004;3.6101710199999997;25.697177206999996;20.542527368000005;25.46152781899999;30.277766670000002;24.536643148;18.193180961000003;19.366239805000003;28.844937228999996;15.617686538;0.020654156;27.100214759;22.026821877000003;14.229494653;23.961504662;16.565435190000002;13.723747839000001;64.09133846500002;51.944510760000014;22.28983368;66.92402561900002;45.912272716;37.568805657;34.914727613000004
29.1;99.5;24.123812487000006;26.495078655999997;24.597182178;16.240473147;24.689247061999996;31.821438016;13.694950696;13.908560345000001;24.297953274999998;26.967422006999993;28.927213217;34.706935361;32.75682007199999;31.573744678999997;45.818063693;16.125239547;0.0;24.29156861;35.461797624000006;33.953936045999995;13.797783252;32.44152098299999;30.22869895599999;23.083608332999997;24.269774337;29.553608608999994;33.351279598;25.132030687000004;25.153276768;28.432052487;38.57530437299999;23.997739167;16.854125124;23.649507394000004;29.466403036999996;25.550040025999998;23.629768881000004;20.661298527;12.381031407;16.256419821999998;31.314558860999995;26.610104366999998;26.29538691;17.869381826999998;29.366372713999997;24.211722875000003;29.130723325999995;33.170039817;28.205838654999997;10.029064388;28.187281732000002;29.286070575999997;18.148859225;16.122945743;30.769410265999998;24.814395624000003;20.295098319999997;27.630700168999997;26.571728397;23.730041046;64.53247181200003;52.38564410700001;25.959029187;67.36515896600004;46.353406063;38.009939003999996;35.35586096
22.3;27.5;29.960840663000006;19.725055512;17.711207954000006;23.965668863;11.880569578000001;29.542064232;13.607206571999996;21.633756061000003;8.375297331;27.946196843;13.808608513;20.665117417;25.970994308;35.87945957499999;31.776245749;20.622373103;24.291568610000002;0.0;22.21535678;23.677947122000006;10.509527528;20.114539939;27.261400332;32.695777469;6.477480713;13.883366904999995;31.876786494000008;29.43774558300001;14.398470923999998;28.093223663000003;24.533486429;30.940159403;25.17567332;31.374703110000002;13.796161333;33.27523574199999;26.288714417;25.627233863000004;20.106227123000004;24.577968018;17.272740917;5.628721583;8.259996686000003;21.505613363000002;11.529081790000001;8.541481171000001;11.582517502000002;24.901889273000002;8.133731031000002;28.566361264;19.765965048;26.809929432;25.874054941;20.620079299;15.099168561999996;31.165442360000007;21.922212336000005;11.821866865;16.784275673000003;18.672981722000003;57.651766548;45.50493884299999;10.288787483000002;60.484453702;39.472700799;31.129233740000004;41.192889136000005
59.6;34.6;29.530859457000002;13.289249626000002;16.181965128;22.859957697;22.874035351999996;8.829733246000002;30.731007886000004;25.380699635;20.107412305;9.319611417;32.335692527000006;8.990630591;5.909486501999999;35.449478369000005;32.957715083000004;26.640755697000003;35.461797624;22.21535678;0.0;1.982085576;27.633328842;22.792217753000003;9.808938286000005;38.395866603000016;27.335909487;13.536873479000004;30.050983048;27.459926257;31.522272238;12.257569317;26.009851923;12.918208017000005;23.099472234;18.228826683999998;13.478856767000002;17.810242375999998;16.206127250999995;28.195082037;26.657558577;21.456904312;12.375114411000002;18.994729916999997;26.248313099999997;26.750717337;30.273277364;25.822072924999997;15.043297736000001;6.727337607000001;18.850037665;27.224731178000003;9.286344501999999;23.406153466000003;24.138030455;26.638461893000002;15.156801056000004;19.491253974000003;37.31691859000001;22.730104859;14.654996007000005;17.832063515999998;57.221785342000004;45.07495763699999;27.569379237;60.054472496;39.04271959300001;30.699252534;40.52415167000001
59.8;39.9;28.074415839000007;11.588360668000002;14.554911869999998;20.890317399;21.173146394;6.860092948;30.774761428;23.411059337;19.605071406999993;7.349971119;33.798282869000005;9.196955933;3.939846204;33.903748871;32.453255945;25.295070819000006;33.953936045999995;23.677947122000003;1.982085576;0.0;27.677082384000002;22.009663115000002;7.839297988000001;36.939422985;27.461381169000003;15.259940021000002;28.08134275;25.850272639000007;31.566025779999997;10.287929019;25.557034065;10.948567719000005;21.129831936000002;16.259186386;15.324388949000003;15.840602077999998;14.236486952999998;26.225441739;24.924846039000002;19.487264014;12.581439753000002;20.457320259;27.975384342;25.405032459;32.000348606;27.549144167;16.505888077999998;4.995141129;20.312628007;25.25509088;7.585455544;21.436513168000005;22.168390157;25.292777015000006;15.571926458;17.521613676000005;35.347278292000006;24.192695201;13.309311129000001;16.131174557999998;56.43923070399999;44.29240299899998;29.296450479;59.271917857999995;38.26016495499999;29.916697896000002;38.914498052000006
