ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CERCANO
739;40;69;39;3.8744802000000003
748;56;64;31;5.16505002
749;64;62;55;5.86656762
757;50;22;25;4.79829048
761;126;33;65;7.56143538
786;93;47;51;7.27251072
789;28;35;41;4.2486549600000005
806;148;-13;60;4.33001994
813;30;39;8;5.482506839999999
815;68;4;21;7.254235019999999
817;104;65;13;5.33079402
818;56;43;50;4.0802578800000004
823;54;79;52;4.39103196
836;131;8;61;7.22763426
844;94;37;51;4.382624399999999
845;90;26;11;12.584940902
848;109;84;66;3.53823642
849;39;79;3;6.84915078
860;81;13;40;13.593373141999999
869;33;36;41;6.196632360000001
877;84;28;40;11.144530862
896;38;71;39;5.182049220000001
908;106;90;66;2.6368389
922;89;83;0;7.84883082
927;89;84;0;8.1767466
931;89;60;27;4.65136254
932;123;39;65;4.8955123799999996
939;50;59;31;3.3524217
945;70;-8;30;3.99167046
947;68;79;52;8.2351176
951;50;98;49;0.85138806
963;97;53;51;9.74503452
1016;138;-4;60;8.388507839999999
1046;81;30;40;9.33666468
1050;89;27;11;12.135663721999999
1111;126;10;61;5.57522652
1125;38;83;38;4.4358426600000005
1132;40;88;38;6.3139047
1149;47;81;32;6.40122336
1195;98;30;65;10.17283872
1200;138;-22;60;13.458449823
1201;67;35;19;6.038214000000001
1208;57;59;31;1.20897108
1239;132;30;65;5.625698819999999
1246;126;2;61;3.1103371200000005
1247;79;60;36;4.959877560000001
1314;109;90;66;1.6239162600000001
1325;109;91;66;1.33153416
1367;41;17;54;4.95032298
1378;90;13;40;16.208368862
1383;50;74;32;5.7734331
1386;130;49;64;7.36974036
1428;27;77;53;5.23010904
1429;126;-13;61;5.5213071000000005
1448;50;88;38;6.43993818
1470;67;60;36;8.4822774
1476;115;68;13;6.71743842
1478;94;57;51;10.589373116
1507;28;39;41;5.404342980000001
1520;90;30;65;12.601627863000001
1539;42;63;39;5.1653272800000005
1549;123;31;65;2.6552382
1562;38;96;16;5.31196692
1575;153;49;64;13.812694738
1582;57;70;31;4.22959674
1609;132;48;64;6.6852171600000005
1610;50;77;7;6.577005
1613;107;30;65;7.502424359999999
1678;123;30;65;2.97082116
1684;103;90;66;3.63013482
1688;42;82;38;2.50972926
1702;71;27;11;6.4871601
1718;84;39;51;10.02930696
1776;94;28;51;9.27897036
1822;73;57;31;4.61992494
1859;84;47;29;7.9656846
1866;115;91;66;3.19597752
1875;107;90;66;2.9246589
1883;28;75;53;4.57187388
1946;42;43;58;4.13692602
1959;28;81;6;4.61566146
1999;58;57;35;8.3336919
2001;82;28;40;10.558931942
2004;107;112;66;9.3860316
2013;107;110;66;10.00023234
2059;68;28;40;6.52574916
2086;112;68;13;7.58219928
2092;67;82;52;6.82755978
2100;87;50;36;7.154003100000001
2101;87;54;36;6.543064620000001
2102;84;58;36;5.865832320000001
2103;84;63;36;6.689217
2104;84;68;36;7.454873640000001
2105;78;70;36;8.39258652
2106;76;75;36;9.19586454
2107;75;80;38;8.53317654
2108;71;83;38;7.77297
2109;66;85;38;6.9772042800000005
2110;61;84;38;6.19382772
2111;56;84;38;5.42910252
2112;52;87;38;4.68288606
2113;47;86;38;3.9360139199999997
2114;43;85;38;3.43612584
2115;39;83;38;4.13766642
2116;33;84;6;5.024561879999999
2117;29;81;6;4.33347612
2118;24;80;6;3.59420862
2119;21;76;6;2.81253096
2120;17;73;6;2.0410372800000003
2121;18;67;20;1.1889969
2122;15;63;20;0.4722651
2123;15;58;20;1.238667
2124;10;54;20;2.15406096
2125;10;50;20;2.69258454
2126;12;45;20;3.45762564
2127;13;40;20;4.20554016
2128;17;37;20;5.043245279999999
2129;19;32;24;5.422285379999999
2130;19;28;17;4.7736180599999996
2131;21;22;45;5.0361945
2132;24;19;45;5.6272934999999995
2133;29;17;45;6.46781664
2134;34;17;57;5.15773146
2135;38;14;57;4.36147314
2136;43;14;57;5.11012644
2137;47;11;25;4.93268868
2138;52;13;25;5.7615654
2139;56;13;25;6.35352006
