ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CERCANO
601;25;23;17;3.13852566
606;50;29;34;5.23278264
608;36;61;39;5.138952120000001
615;26;39;4;4.47319992
617;84;26;40;10.26770172
618;48;11;25;4.53082278
623;70;30;47;4.73366868
627;74;46;29;4.60839828
628;31;49;4;2.3203808400000003
629;80;61;36;4.882378500000001
631;40;58;59;3.3236750399999995
632;61;42;12;0.2593035
636;66;60;35;5.67689196
637;126;43;65;6.5376021
639;33;30;48;5.3261810999999994
640;44;35;50;6.6519159
644;40;49;2;0.14601186
651;31;48;4;2.7255361799999998
653;60;72;35;5.1259506
654;41;15;54;4.998897240000001
656;73;18;21;7.24378194
658;73;27;11;4.62469476
659;61;35;47;3.11250486
662;80;65;55;6.78744438
666;64;1;40;9.54251892
670;62;38;19;2.4776716199999997
672;25;57;4;3.86807562
673;17;30;24;4.05126516
677;62;45;19;5.5360731
681;94;47;51;5.143378799999999
682;51;72;3;4.942264440000001
686;75;36;22;4.924692479999999
687;74;64;33;4.645224
688;70;4;21;5.984259659999999
693;70;9;21;3.36053322
695;75;38;22;4.11313974
710;41;23;34;4.86982044
714;56;22;25;4.95662184
715;64;72;35;6.35497566
719;103;64;13;3.0539308199999997
721;33;57;37;4.47105828
722;39;94;16;5.647424579999999
724;81;47;29;4.65263496
725;66;14;40;5.19024012
727;50;17;54;0.49265994
728;70;25;11;6.34760856
730;40;66;39;4.74979476
739;40;69;39;3.4693434
748;56;64;31;4.36955424
749;64;62;55;4.96935636
757;50;22;25;4.13308356
761;126;33;65;6.60134418
786;93;47;51;6.110738939999999
789;28;35;41;3.5465310000000003
806;148;-13;60;3.7865359200000004
813;30;39;8;4.6945479
815;68;4;21;6.23004852
817;104;65;13;4.40423772
818;56;43;50;3.5172803999999998
823;54;79;52;3.7856662200000004
836;131;8;61;6.24449328
844;94;37;51;3.73948938
845;90;26;11;10.169050919999998
848;109;84;66;3.03024504
849;39;79;3;5.6120686200000005
860;81;13;40;11.691895082
869;33;36;41;5.1989639400000005
877;84;28;40;9.44901732
896;38;71;39;4.652097
908;106;90;66;2.2365168
922;89;83;0;6.431644739999999
927;89;84;0;6.67943076
931;89;60;27;4.0638186
932;123;39;65;4.4502273
939;50;59;31;2.84482728
945;70;-8;30;3.59192346
947;68;79;52;7.219073219999999
951;50;98;49;0.85138806
963;97;53;51;8.14142292
1016;138;-4;60;7.2120609
1046;81;30;40;7.9875488400000005
1050;89;27;11;9.8080959
1111;126;10;61;4.8752036400000005
1125;38;83;38;3.8047448999999998
1132;40;88;38;5.4850428
1149;47;81;32;5.25750438
1195;98;30;65;9.061006500000001
1200;138;-22;60;11.679514803
1201;67;35;11;5.38109826
1208;57;59;31;1.02632082
1239;132;30;65;4.924973339999999
1246;126;2;61;2.86585056
1247;79;60;36;4.2975188399999995
1314;109;90;66;1.4802789
1325;109;91;66;1.2389079600000001
1367;41;17;54;4.15975524
1378;90;13;40;13.971961202
1383;50;74;32;4.86721728
1386;130;49;64;6.61416126
1428;27;77;53;4.5721743
1429;126;-13;61;4.947345540000001
1448;50;88;38;5.48379828
1470;67;60;36;7.309757460000001
1476;115;68;13;5.5630498799999994
1478;94;57;51;8.80134804
1507;28;39;41;4.55641542
1520;90;30;51;10.298184896
1539;42;63;39;4.3676173799999995
1549;123;31;65;2.47591134
1562;38;96;16;4.72400814
1575;153;49;64;12.485182858
1582;57;70;31;3.66571734
1609;132;48;64;6.04266384
1610;50;77;32;5.64900588
1613;107;30;65;6.7751106
1678;123;30;65;2.73458262
1684;103;90;66;2.99963592
1688;42;82;38;2.14402452
1702;71;27;11;5.43161082
1718;84;39;51;8.23981476
1776;94;28;51;8.10105138
1822;73;57;31;3.76358172
1859;84;47;29;6.72189492
1866;115;91;66;2.79895302
1875;107;90;66;2.4804516
1883;28;75;53;4.0184158199999995
1946;42;43;58;3.50287764
1959;28;81;6;3.9579131399999996
1999;58;57;35;6.99029058
2001;82;28;40;8.94913728
2004;107;112;66;7.98896394
2013;107;110;66;8.49110106
2059;68;28;40;5.50396566
2086;112;68;13;6.31668786
2092;67;82;52;5.5330115399999995
2100;87;50;36;6.092732460000001
2101;87;54;36;5.58141504
2102;84;58;36;4.9811595
2103;84;63;36;5.6244003000000005
2104;84;68;36;6.25349202
2105;78;70;36;7.033107
2106;76;75;36;7.711417140000001
2107;75;80;38;7.23994128
2108;71;83;38;6.63089142
2109;66;85;38;5.94714222
2110;61;84;38;5.31459264
2111;56;84;38;4.68272658
2112;52;87;38;4.04803146
2113;47;86;38;3.4241867399999997
2114;43;85;38;2.9978249399999997
