;ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66
1942;3743;36;21;25.871341739000002;18.690564423999998;16.675319593999998;25.56259608;18.928858855;27.253489924;15.232356064;23.252768231999998;13.465102517999998;26.06473608;16.548638651999998;16.596915668;22.705044942999997;31.768999898;27.678839412000002;22.257096959000002;25.945750815999997;10.225897013;18.947392666;20.419601416;12.129839806;16.052642682000002;23.156035204;34.368688952;11.797790309;7.197218348;27.849341134;25.371684738000003;16.117895824;23.97672714;20.516588731;27.44820174;25.187367706;27.461334094;6.145519989;30.017650913;22.204727308;27.218761559999997;21.69775482;24.805683993;13.188753808000001;11.19289698;9.205803917;23.129538179;13.334815552999999;8.868289121;3.974874233;20.814091592;3.271450338;30.211948402999997;17.383151645;22.704564303999998;27.493067112;22.245627942000002;10.801584777;27.068600386;23.603937126;5.847680648;15.761719949;17.980353256;53.616307807000005;41.442437519;10.603601637999999;58.056691016;35.428746982;27.065984807;37.131058586
1943;3744;54;69;22.329640859;14.581696204;16.581703513999997;5.67547992;23.146355515;15.643135504;17.327923684;8.218306812000002;24.706418898;10.78608738;32.575443492000005;25.475203568;16.584673063;30.769523258;45.298234271999995;11.588852759;20.228378596;27.903962213;19.749414586;17.789392696;17.425919026;31.957200642;19.874889363999998;24.515745692;27.889492529;27.608610308;32.901411154;24.643546758000003;28.880525164;18.73588092;38.135983591;7.80830526;8.185936726;8.534384794;28.400167569;5.936789693;17.104609468;15.71262834;9.70460904;8.270516133;28.843902028;27.13040712;29.904112036999997;13.710541079;33.079145213000004;27.909173381000002;27.902417633;22.775896832;29.364941418;16.869472823;17.460069125;28.758282364;7.788588132;11.577383742;31.098550077;10.951260465999999;23.984646606000002;31.251798968;17.540379089;15.729718816;64.074589987;51.900719699;29.644485898;68.514973196;45.887029162;37.524266987;34.871607326
1944;3745;25;21;27.016017419;21.704609643999998;19.689364813999997;23.54696436;13.867102855;28.802885164;13.216724344;21.237136512;11.449470797999998;29.514356879999998;14.533006932000001;17.741591348;26.609255203;32.913675578;28.823515092;20.241465239;23.930119096;5.648393813;24.286067026;25.916591716;10.114208086;17.197318362;24.300710883999997;32.353057232;9.782158589;10.935993428;28.994016814;26.516360418;14.102264104;25.12140282;21.661264411;28.59287742;24.768524086;28.606009774;10.844901249000001;31.162326593;23.349402987999998;25.20312984;19.6821231;24.190473333;14.333429488;7.36874646;6.823777697;21.113906459;10.295165633;6.852657401;10.496296853;21.958767272000003;8.380413917999999;28.196316683;21.761114045000003;23.849239983999997;25.477435392;20.229996222;12.160191717;28.213276066;21.588305406;7.901375767999999;18.775765169;20.666295016;54.760983487000004;42.587113199;8.587969917999999;59.201366695999994;36.573422662;28.210660487;38.275734266
1945;3746;142;34;36.035463599;47.917985344;47.911672214;40.95209406;47.159593314999995;37.822331344;42.358371124;39.964446552;41.567714177999996;41.30860596;44.651250312;33.771651548;37.832260723;41.933121758000006;45.004073952;44.798234339000004;45.258826036;38.328508673;37.898057446;37.125121216;40.232451466;31.663040322;34.707602344;44.957556692;39.900401968999994;33.442509308;35.487266074000004;35.535806598;44.220507483999995;34.140849;37.841823271;37.6123236;44.120926426000004;37.625455953999996;34.713013989;40.181772773;32.368849168;49.88744964;39.48826416;45.519180273;30.513988347999998;41.50334562;37.308415577000005;47.029912679;41.437427213;36.970900781;36.532103213;32.365658732;36.530249478;49.525023623;44.292143405;29.030538183999997;40.623308892;44.786765322;37.172896557;37.232722246;49.015094046;34.378504328;47.742269488999995;49.816073956;32.557432387000006;20.383562099;38.706213298;36.997815595999995;18.296522122;11.607618827;47.295180446
1946;3747;89;77;6.339874919;30.511748523999998;31.769588474;18.956867279999997;31.339229695;22.002961564;20.363144344000002;17.969219772;30.938362758;22.515320159999998;35.373756972;24.644656868;26.088432522999998;18.209451037999997;35.726580612;22.803007559;23.263599256;29.051015333;28.620564106;27.173738896;20.461139686;22.385546982;20.129257084;22.962329912;30.622908629;24.165015968;23.329757494;12.419433677999999;31.915745824;18.32147922;28.564329931;18.79517946;22.125699646;15.595804834;25.435520649;17.559586553;13.551705028;27.892222859999997;17.493037379999997;23.523953493;21.236495008;32.22585228;28.030922237;25.034685899;32.159933873;27.693407441;27.254609873;23.088165392;27.252756138;27.529796843;30.369438725000002;19.186628704;18.628082111999998;22.791538542;27.895403217;16.487539486;27.019867266000002;25.101010988;33.339132209;30.917603776;54.502936327;42.329066039;29.428719958;58.943319536000004;36.315375502;27.952613326999998;12.212281946
1947;3748;89;52;11.995489679;22.526887144;25.492041074;22.5265986;32.427808854999995;13.169985184;23.932875664;21.538951091999998;31.327404918;15.36568572;34.410941052000005;23.681840948;18.193443643;17.073583118;34.763764691999995;26.372738879;26.833330575999998;28.088199413;21.238771906;19.278750016;24.030871006;21.422731062;12.570373984;26.532061232;29.660092709;23.202200047999998;14.675774794;8.071357877999999;33.980198224000006;9.48850284;27.601514011;14.70511764;25.695430966;15.939595654;24.472704729;17.987772533;9.775632628;30.977062259999997;21.0627687;24.275493873;20.273679087999998;31.26303636;27.068106316999998;28.604417219000002;31.197117953000003;26.730591521;26.291793953;22.125349472000003;26.289940217999998;30.060770843;22.474449845000002;10.686013564;22.197813432;26.361269862;26.932587297;14.326200406;30.589598586;24.138195067999998;25.485570029;25.680968776;53.540120407;41.366250119;28.465904037999998;57.98050361600001;35.352559582;26.989797406999998;20.155394306
1948;3749;68;101;21.168116639;31.938959464;30.879230414;18.06650922;30.448871635;29.130841384;19.472786284;17.078861712;30.048004698;27.39819828;34.720306092;31.772536688;33.196783963;28.597088078;42.854460431999996;21.912649499;20.486267776;30.048824813;35.748443926;34.301618716;19.570781626;29.513426802;27.257136904;2.746778372;30.034355129;31.292895788;30.457637314;22.199772918;31.025387764;25.44935904;35.692209751;24.42041616;21.235341586;20.690961334;32.563400468999994;21.303616433;20.679584847999998;27.0018648;16.60267932;22.633595433;28.364374828;32.36241744;32.048974637;24.144327839;35.224007813;30.054035981000002;34.382489693;30.216045212;33.955890077999996;10.476987923000001;34.023626045;26.314508523999997;16.154888652;21.901180482;35.023283037000006;20.643494686;26.129509206;32.228890808;32.448774148999995;30.027245716;61.630816147000004;49.456945859;31.789348498;66.071199356;43.443255322;35.080493147;32.427833486000004
1949;3750;20;-33;36.240071279;32.810358363999995;30.836265074;31.58882022;25.083205795;38.026939024;21.258580204;29.278992371999998;19.491326658;38.73841074;21.960430631999998;26.965645208;35.833309063;42.137729438;38.047568952;28.283321099000002;31.971974955999997;16.252121153;33.532242886;35.268932536;18.156063946;26.421372222000002;33.524764743999995;40.394913091999996;17.824014449;20.160047288;38.218070674;35.740414277999996;22.144119964;34.34545668;30.885318271;37.81693128;32.810379946000005;37.830063634;20.068955109;40.386380453;32.573456848;33.2449857;27.72397896;32.232329193000005;23.557483347999998;19.4269581;12.930136757;29.155762319;16.105169933;7.846096421;19.720350713;31.182821132;18.796367357999998;36.238172543000005;32.232482765;33.073293844;33.519291252;28.271852082000002;21.384245577;37.437329926000004;29.630161266;18.237138848;29.922665429000002;31.478368756;63.985037347;51.811167059;6.080799418000001;68.42542055599999;45.797476522;37.434714346999996;47.499788126
1950;3751;103;48;18.778509359;31.240885923999997;34.206039854000004;25.90124514;38.283607554999996;21.095747703999997;27.307522204;24.913597632;33.480174498;24.28527222;36.563710632;25.834610528;25.041906163;12.025569278;36.916534272;29.747385419;30.207977116;30.240968993;27.772668106;25.812646216;27.405517546;23.575500642;17.965154763999998;29.906707772;31.812862289;25.354969628;4.959961594;11.196064097999999;36.132967804;17.41426536;29.754283591;22.43901864;29.070077506;22.574607034;26.625474309;25.130923853;17.318000248;34.83660072;24.43741524;30.468331353;22.426448668;33.41580594;29.220875897;31.979063759;33.349887533;28.883361101000002;28.444563533;24.278119052;28.442709798;34.474174703;29.057074685;6.068123524000001;25.572459972;29.735916402;29.085356877;22.181873325999998;33.964245126;26.290964648;34.199568809;34.757972716;53.509407367;41.335537079;30.618673618;57.949790576;35.321846542;26.959084367;24.835941086000002
1951;3752;5;58;27.396477539000003;24.194207883999997;22.336617733999997;19.49423988;15.406769815;34.878745804;9.163999863999999;17.184412031999997;13.175114958;31.15298424;18.938948112;25.252278188000002;32.428751203;34.825448978000004;36.334201932;16.188740759;19.877394616;13.175935073;30.299266366;30.352638316;6.061483606;24.708005202000002;31.811397724;28.300332752;13.161465389;18.446680267999998;36.504703654000004;28.428133818000003;14.152498024;31.67771994;29.171951251;28.52905182;20.715799606;26.919322234;18.355588089;28.803343553;26.907945748;21.150405359999997;15.62939862;20.137748852999998;21.844116328;15.79426956;15.176084897;17.061181979;18.351118073000002;13.181146240999999;18.006983693;29.469454112;17.083000337999998;24.143592203;26.591802605;31.359926824;21.424710912;16.177271742000002;19.670878556999998;28.079717626;17.535580926;16.523771828;23.213439629;21.736787896;62.271670327;50.097800039;14.916458758;66.712053536;44.084109502;35.721347327;38.656194386
1952;3753;22;33;32.515273739;17.100061204;15.084816374;25.336222019999997;9.262554415;26.917069924;15.005982004;23.026394172;7.123289358;25.318170419999998;16.549970712;23.240847668;23.779666663;38.412931898000004;34.322771411999994;22.030722899;25.719376756;5.501010713;20.252200846;21.703553776;11.903465746;22.696574682;28.125864844;34.142314891999995;9.647857109;16.435249748;34.493273134000006;32.015616738;15.891521764;30.3337746;27.160520731000002;28.3040337;23.596864486;32.761304374;15.616799589000001;32.576132393;28.848659308;23.273166779999997;21.47138076;23.215180773;19.832685807999997;5.85583764;13.086681737;22.901538899000002;16.339687553;11.169715721;14.478623633;24.230763272;10.690068018;29.985574343;17.156565605;29.348496303999998;27.266693052;22.019253882;17.659448037;33.71253238600001;23.377563066;14.512341308;14.171216729000001;16.061746576;60.260239807000005;48.086369519;12.905028238;64.700623016;42.072678982;33.709916807;43.774990586
1953;3754;71;47;19.656205739;14.040775024;17.005928953999998;21.983249819999997;23.828936275;4.959188704000001;25.979113264000002;23.585188692;26.967583758;8.84717958;34.524028572000006;15.141425288;9.477900523;25.553863898;34.876852211999996;27.322414019;28.879568176;28.201286933;12.523228785999999;10.563206896;26.077108606;21.535818582;4.378242604;28.578298832;29.773180229;23.315287568;20.823437854;17.353370418;34.093285744;1.27770636;27.714601531;12.03340086;22.234319626;12.092687134;24.585792249;12.907712753;5.823788668;27.312974639999997;23.109006299999997;20.611406253;18.510123747999998;29.563088580000002;27.181193837;28.554866219;31.310205473;26.843679041;26.404881473;15.549711032;26.403027738;26.396683223;13.758906725;16.664730184;20.912598792;27.310945002;25.921305717;9.096060526;32.635836186;24.251282588;16.999457909;18.174656056;53.653207927000004;41.479337639;28.578991558;58.093591136;35.465647102;27.102884926999998;30.421826126000003
1954;3755;38;45;35.310462899;5.014411924;4.0401147139999996;22.27141764;10.975882495;15.838715104;22.329253624000003;20.411395812;8.754479477999999;13.232521140000001;26.283817212;22.704599468;16.256089303;39.664370498000004;41.950633032;18.662298419000003;27.723275956;16.377998153;16.443148126;15.107081656;19.226737366000002;30.324436302000002;20.078481844;36.214318112;19.531914989;17.936713448;39.403325314;34.160319437999995;23.063286184;19.25541978;34.788382351;16.7031525;15.609027286;23.782791394;14.918268309;23.347695772999998;22.703930487999997;16.886625;18.856382399999998;12.425239533;25.436043807999997;11.1784677;22.562970016999998;18.128516579;25.738003193;20.568031361000003;14.045256473;20.093585792000002;15.503539398;26.319989183;9.180086345;34.023738544;25.898049132;18.650829402000003;19.914112857;25.557089146;30.700834686;19.483880828;2.085567449;5.587093576;67.88810142700001;55.714231139;22.303343878;72.328484636;49.700540602;41.337778426999996;46.570179746
1955;3756;109;83;19.981818419000003;45.523091764;47.262770474;34.45004928;46.832411695;36.418029364;35.856326343999996;33.462401772;46.431544758;37.714246859999996;50.866938972;40.137838868;41.189648263;19.576262258;51.219762612;38.296189559;38.756781256000004;44.544197333;43.874989846;42.274954636;35.954321686;37.878728982;35.566578604;38.455511912;46.116090629;39.658197968;33.076802734000005;23.280680358;47.408927824;32.73654702;44.057511931;33.99410616;37.618881646000006;31.088986834;40.928702648999995;33.052768553;28.750631728;43.38540486;32.98621938;39.017135493000005;36.729677007999996;47.71903428;43.524104237;40.527867899;47.653115873000004;43.186589440999995;42.747791873;38.581347392;42.745938138;43.022978843000004;45.470654464999996;32.294597464;34.121264112;38.284720541999995;43.388585217000006;31.980721486;42.513049265999996;40.594192988;48.481774648999995;46.410785776;69.996118327;57.822248039;44.92190195800001;74.436501536;51.808557502;43.445795327;4.440654146
