ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CERCANO
379;46;33;50;5.687557145
380;67;47;5;4.237307464
393;47;62;39;2.585776353
398;59;43;50;4.289569205
404;47;80;32;4.569186226
412;35;20;48;2.600722518
413;79;49;29;4.85685186
414;92;46;51;5.138238784
424;48;1;25;8.184243968
426;35;43;8;4.790066358
428;93;49;51;5.737096624
435;68;61;31;5.5102017
438;23;58;4;4.404064255
439;81;52;36;4.943481148
442;36;84;6;4.772822284
450;69;51;22;3.365663764
465;40;45;58;0.804259709
471;43;70;32;0.820596406
478;66;45;5;3.338161084
479;55;43;9;5.45230224
500;79;45;29;6.38627406
506;59;72;35;4.370543153
507;86;41;51;6.237540604
510;44;48;1;3.413461984
522;66;4;30;5.241973471
527;63;14;40;3.252084748
529;63;2;40;8.096955748
535;55;56;9;5.75992368
541;60;42;12;0.426965143
546;73;11;40;6.655944628
548;64;27;11;0.060368468
551;36;42;2;4.456937714
552;86;63;36;5.799038368
556;70;63;55;5.759717086
559;27;70;53;4.088906502
562;86;25;21;9.822859602
564;36;43;2;4.057912994
567;66;56;9;4.64387322
571;70;12;21;3.682155762
576;66;72;35;4.700521193
579;90;31;51;9.866296984
581;80;67;55;6.221580886
589;64;52;5;2.474937904
590;70;46;5;4.688472124
594;75;52;29;4.44737898
601;25;23;17;2.748230033
606;50;29;34;4.698241569
608;36;61;39;4.190491053
615;26;39;4;4.076022175
617;84;26;40;9.104013928
618;48;11;25;4.027393148
623;70;30;47;4.056394592
627;74;46;29;4.31192526
628;31;49;4;1.988251915
629;80;61;36;4.187993548
631;40;58;59;2.861400436
632;61;42;12;0.021608623
636;66;60;35;5.455735013
637;126;43;65;5.809141487
639;33;30;48;4.936351398
640;44;35;50;6.144573785
644;40;49;2;0.012167654
651;31;48;4;2.391822235
653;60;72;35;4.761541253
654;41;15;54;4.150755777
656;73;18;21;6.240696462
658;73;27;11;3.877001348
659;61;35;47;2.463030332
662;80;65;55;6.266648806
666;64;1;40;8.662814548
670;62;38;19;2.029325836
672;25;57;4;3.539412115
673;17;30;24;3.717885269
677;62;45;19;4.898636956
681;94;47;51;4.828223224
682;51;72;3;4.56624366
686;75;36;22;4.552179904
687;74;64;33;4.053369814
688;70;4;21;5.002280922
693;70;9;21;2.502321942
695;75;38;22;3.762800464
710;41;23;34;4.421367909
714;56;22;25;4.437905768
715;64;72;35;5.941208813
719;103;64;13;3.020653418
721;33;57;37;4.13398998
722;39;94;16;4.558606816
724;81;47;29;4.46768682
725;66;14;40;4.374040768
727;50;17;54;0.041054997
728;70;25;47;5.425087112
730;40;66;39;3.955596753
739;40;69;39;2.763006993
748;56;64;31;4.00640436
749;64;62;55;4.499224666
757;50;22;25;3.592823468
761;126;33;65;5.728248407
786;93;47;51;5.511153304
789;28;35;41;3.11856864
806;148;-13;60;2.622154747
813;30;39;41;4.53426396
815;68;4;21;5.204345142
817;104;65;13;4.292510138
818;56;43;50;3.040201265
823;54;79;52;3.376014732
836;131;8;61;5.498814719
844;94;37;51;3.415744624
845;90;26;11;9.009327908
848;109;84;66;2.258594246
849;39;79;3;5.2368582
860;81;13;40;10.29478143
869;33;36;41;4.65616302
877;84;28;40;8.319079108
896;38;71;39;3.957513573
908;106;90;66;1.409717786
922;89;83;0;5.706232259
927;89;84;0;5.945961719
931;89;60;27;3.081636678
932;123;39;65;3.755006447
939;50;59;31;2.75553138
945;70;-8;30;2.217591751
947;68;79;52;6.688501992
951;50;98;49;0.070949003
963;97;53;51;7.470230644
1016;138;-4;60;5.923982947
1046;81;30;40;7.304421268
1050;89;27;11;8.663507168
1111;126;10;61;4.110333059
1125;38;83;38;3.70886508
1132;40;88;38;5.1465015
1149;47;81;32;4.962315646
1195;98;30;65;8.282925827
1200;138;-22;60;10.34566063
1201;67;35;19;4.598237056
1208;57;59;31;0.95619492
1239;132;30;65;4.037564747
1246;126;2;61;2.057813699
1247;79;60;36;3.620016868
1314;109;90;66;0.706246286
1325;109;91;66;0.467864486
1367;41;17;54;3.376211457
1378;90;13;40;12.49790139
1383;50;74;32;4.429989466
1386;130;49;64;5.414661742
1428;27;77;53;3.861047622
1429;126;-13;61;4.005614639
1448;50;88;38;5.24886348
1470;67;60;36;6.442852828
1476;115;68;13;5.171993798
1478;94;57;51;8.518765444
1507;28;39;41;4.04535924
1520;90;30;51;9.539724844
1539;42;63;39;3.642809073
1549;123;31;65;1.691128727
1562;38;96;16;3.647836816
1575;153;49;64;11.11853738
1582;57;70;31;3.52272948
1609;132;48;64;4.873929322
1610;50;77;32;5.155526386
1613;107;30;65;5.956225967
1678;123;30;65;1.950584147
1684;103;90;66;2.089968026
1688;42;82;38;1.97026278
1702;71;27;11;4.642207988
1718;84;39;51;7.751107444
1776;94;28;51;7.685230924
1822;73;57;36;3.738321988
1859;84;47;29;6.2513424
1866;115;91;66;1.956410786
1875;107;90;66;1.640411066
1883;28;75;53;3.343728282
