ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CENTRO
4503;19;39;3531;20.34671329
4504;23;-7;2152;16.18624184
4505;32;44;3531;29.15204467
4506;41;21;3847;21.33995044
4507;3;35;4507;0
4508;10;78;4045;26.45962016
4509;40;26;2625;18.84739188
4510;73;68;3175;18.71333722
4511;25;12;3675;41.61423417
4512;75;42;3564;20.54347027
4513;65;11;2504;23.76560727
4514;88;91;2783;61.08744626
4515;46;91;3761;29.70790865
4516;61;33;4085;11.4776138
4517;68;35;2365;28.57369805
4518;90;91;2783;61.13906507
4519;67;25;2504;19.46899099
4520;78;82;3761;61.34524328
4521;58;26;2504;28.26973103
4522;76;14;3131;17.69416579
4523;89;39;3966;40.07521206
4524;62;67;2526;7.463904078
4525;103;17;3966;95.23830705
4526;-16;117;2122;70.85805185
4527;97;85;2516;50.77052527
