ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
156;49;72;23.9080778;26.77466938;17.76078913;12.4322206;41.94343588;17.25013296;31.77382852;25.57726142;21.25759288;26.16830496;42.30809886;23.4103264;16.5082629;14.46197248;32.37744278;9.270572848;5.918339204;21.23911832;12.06959316;13.91427416;63.092614;44.94172252;31.59819302;66.83793496;45.01188768;50.47250054
159;43;93;23.039522;22.8086584;7.644289582;21.41256936;37.97742492;13.28412199;24.96700732;21.61125044;8.93474079;22.20229398;38.3420879;24.32153598;9.701441702;14.84759661;25.57062158;12.22527374;14.58502578;16.65672082;12.7359336;18.02360574;59.12660302;38.13490132;24.79137182;62.871924;41.04587672;46.50648956
160;53;68;19.85050035;28.6283611;19.44649031;12.6787447;43.7971276;18.4234706;32.83565992;27.43095314;21.72307186;28.02199668;44.16179058;18.78394512;17.5700943;10.15084942;33.43927418;10.30011037;9.4410864;20.67735484;12.34202811;13.25262357;64.94630572;46.00355392;32.66002442;68.69162668;46.8655794;52.32619226
161;38;17;15.64925298;29.48234086;24.57629796;29.99537204;44.65110736;21.14879992;13.58842285;22.39903806;27.83671104;19.34231941;24.29437668;14.99430999;21.0645472;25.36649048;14.33588327;26.16418666;30.8324578;36.17592564;28.98336562;26.8497501;52.70596198;26.90016302;13.55663351;56.45128296;47.71955916;40.08584852
162;26;43;12.38437151;40.397039;25.91724656;27.04966358;55.5658055;30.87250258;19.29164146;33.89510778;29.17765962;30.83838912;35.7904464;10.82093996;22.40549578;19.95826197;19.89525572;21.48495438;28.42492892;35.81179772;30.3243142;33.53509662;64.2020317;32.45953548;19.11600597;67.94735268;58.6342573;51.58191824
165;83;42;26.98342332;23.84394048;28.3645123;19.1219891;39.012707;15.51039956;31.389821;9.278569884;31.23744628;9.72461182;32.61399528;26.06031214;26.4881163;28.80934376;31.99343526;29.43009478;25.71757034;35.9297018;23.59880314;18.30273692;51.36118912;44.557715;31.2141855;55.1065101;42.08115878;38.74107566
176;72;24;29.42759036;25.1557212;29.67629302;25.6687524;40.3244877;16.82218027;21.081179;18.0724184;32.549227;14.85257313;22.34191934;27.5573334;27.79989702;32.94605192;21.68479326;30.7418755;29.66229468;38.71113378;24.91058384;22.52313046;48.37934232;34.249073;20.9055435;52.1246633;43.3929395;35.75922886
179;90;70;31.92597438;5.904607242;20.4642901;19.63483205;26.17542054;7.533840494;30.2164074;14.74631031;23.33722406;15.33735385;31.47714776;33.1348796;18.58789408;23.734049;30.82002166;21.52987258;20.45029174;29.49913086;15.69858092;13.23479067;52.2616629;43.38430142;30.04077192;56.00698386;29.24387234;39.64154942
180;7;60;20.44020106;32.2916488;17.81185635;30.24429256;47.4604153;22.76711238;18.17531423;31.09424084;21.07226942;29.7220619;34.67411918;19.70110247;14.30010558;21.10420726;18.77892849;19.39974503;24.06801618;29.41148402;22.21892398;27.50659614;63.08570446;31.34320824;17.99967873;66.83102544;50.5288671;50.465591
181;54;76;24.7858937;24.29930398;16.08966971;12.82258992;39.4680705;14.77476757;29.47883932;23.10189602;18.96260369;23.69293956;39.83273348;25.44173956;14.2132737;16.59396831;30.08245358;12.68903522;2.055595002;18.03383532;8.954309034;14.16075067;60.6172486;42.64673332;29.30320382;64.36256958;42.5365223;47.99713514
